PhysicalActivityDays,BMIPercentile,Sex,Grade
1.0,66.5318241,Male,10th grade
0.0,98.17431868,Female,9th grade
0.0,33.07553097,Female,11th grade
6.0,45.68833421,Female,11th grade
5.0,62.39033084,Female,11th grade
0.0,13.9696424,Female,11th grade
0.0,80.35879541,Female,11th grade
1.0,80.08049978,Female,11th grade
3.0,35.25725233,Female,11th grade
5.0,80.35879541,Female,11th grade
0.0,76.77275392,Female,11th grade
7.0,41.90226796,Male,9th grade
7.0,49.68153626,Male,9th grade
7.0,50.94662272,Male,9th grade
4.0,69.5988229,Male,9th grade
3.0,98.54569735,Male,9th grade
2.0,99.62699856,Male,9th grade
0.0,95.67686938,Male,9th grade
5.0,66.97871065,Male,9th grade
7.0,77.24197648,Female,10th grade
1.0,96.7831408,Female,10th grade
4.0,42.1484795,Female,10th grade
1.0,94.07864967,Female,10th grade
0.0,92.75239448,Female,10th grade
0.0,94.79064882,Female,10th grade
3.0,41.70582009,Female,10th grade
0.0,96.62103194,Female,10th grade
7.0,86.84669781,Female,10th grade
1.0,71.27637135,Female,10th grade
7.0,78.9594291,Male,10th grade
2.0,75.69056427,Male,10th grade
4.0,68.88518339,Male,10th grade
5.0,19.66638439,Female,10th grade
0.0,58.90305846,Female,10th grade
0.0,87.30348222,Female,12th grade
2.0,19.34593133,Female,12th grade
1.0,97.16947681,Female,12th grade
0.0,13.9696424,Female,11th grade
0.0,94.79404677,Female,10th grade
0.0,16.53387163,Male,12th grade
4.0,59.97282837,Male,12th grade
1.0,29.31796292,Male,10th grade
7.0,52.96298965,Male,12th grade
3.0,57.45496513,Female,12th grade
6.0,62.39033084,Female,12th grade
5.0,15.1779208,Female,12th grade
7.0,1.812713435,Female,12th grade
2.0,57.45496513,Female,12th grade
7.0,95.05281444,Female,12th grade
7.0,43.19281437,Female,12th grade
3.0,64.73433168,Female,12th grade
4.0,83.03210906,Male,12th grade
5.0,85.76711283,Male,12th grade
6.0,93.5206906,Male,12th grade
1.0,65.88575167,Female,12th grade
7.0,87.29843376,Male,11th grade
7.0,93.98925052,Male,11th grade
5.0,83.72971442,Male,9th grade
7.0,60.66321529,Male,9th grade
7.0,50.10948386,Male,9th grade
5.0,96.62999717,Male,10th grade
3.0,98.44322633,Male,10th grade
5.0,51.77995186,Male,10th grade
7.0,38.53470375,Male,11th grade
2.0,97.32417296,Male,11th grade
0.0,41.70582009,Female,10th grade
4.0,47.52350758,Female,9th grade
4.0,20.46953227,Female,9th grade
7.0,75.4379744,Female,9th grade
1.0,32.74319281,Female,9th grade
5.0,92.86925353,Female,9th grade
6.0,81.62895753,Female,9th grade
0.0,45.33714908,Female,9th grade
7.0,83.06926617,Female,9th grade
1.0,91.60778436,Female,9th grade
0.0,45.33714908,Female,9th grade
6.0,36.51881463,Male,9th grade
7.0,55.18146429,Male,9th grade
0.0,61.92023551,Female,12th grade
3.0,65.84221705,Female,12th grade
3.0,35.20622619,Male,12th grade
2.0,97.18899955,Female,12th grade
4.0,82.05508744,Female,12th grade
2.0,90.62341985,Female,12th grade
0.0,66.08178759,Female,12th grade
0.0,82.19258456,Female,12th grade
0.0,54.40385458,Female,12th grade
4.0,94.7249625,Female,12th grade
1.0,52.25342381,Male,12th grade
2.0,72.21362837,Female,12th grade
0.0,77.04936127,Female,12th grade
3.0,26.67157309,Male,12th grade
3.0,96.59822418,Female,12th grade
1.0,87.00265796,Female,12th grade
0.0,71.77163239,Female,12th grade
0.0,80.9826523,Female,12th grade
0.0,98.45821402,Female,12th grade
0.0,53.62901996,Female,12th grade
3.0,51.32765319,Female,12th grade
0.0,82.7114493,Female,12th grade
0.0,96.62805126,Female,10th grade
0.0,78.10688836,Female,10th grade
